Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.59614E-3,33.658489669,0.626223788,0.204268293,0.280898876,0
6.61099E-3,34.31958912,0.627051136,0.201219512,0.292134831,0
7.07214E-3,35.026802852,0.651846997,0.198170732,0.303370787,0
7.16464E-3,35.743267151,0.65661892,0.195121951,0.314606742,0
7.20613E-3,36.463880527,0.658737929,0.192073171,0.314606742,0
7.24891E-3,37.188771085,0.660908676,0.18902439,0.325842697,0
7.34877E-3,37.923647839,0.665923249,0.18597561,0.337078652,0
7.35969E-3,38.659616992,0.666467278,0.182926829,0.348314607,0
7.42785E-3,39.402402358,0.669841888,0.179878049,0.359550562,0
7.45473E-3,40.147875388,0.671163107,0.176829268,0.370786517,0
7.51962E-3,40.89983727,0.674331188,0.173780488,0.370786517,0
7.59179E-3,41.659015909,0.677818821,0.170731707,0.382022472,0
7.72234E-3,42.431249937,0.684033457,0.167682927,0.393258427,0
7.75605E-3,43.206854862,0.685618508,0.164634146,0.404494382,0
7.8727E-3,43.994124905,0.691042523,0.161585366,0.415730337,0
8.05492E-3,44.799616505,0.699328481,0.158536585,0.426966292,0
8.09352E-3,45.608968848,0.701055358,0.155487805,0.438202247,0
8.1557E-3,46.424539095,0.703815748,0.152439024,0.449438202,0
8.21235E-3,47.245773676,0.706308191,0.149390244,0.460674157,0
8.46268E-3,48.0920415,0.717074643,0.146341463,0.471910112,0
8.47948E-3,48.939989494,0.717782963,0.143292683,0.483146067,0
8.4812E-3,49.78810936,0.71785532,0.140243902,0.494382022,0
8.49129E-3,50.637238587,0.718279881,0.137195122,0.505617978,0
8.5568E-3,51.492918784,0.721019885,0.134146341,0.516853933,0
8.57117E-3,52.350035371,0.721617098,0.131097561,0.528089888,0
8.67829E-3,53.217864113,0.72603079,0.12804878,0.528089888,0
8.89684E-3,54.107548414,0.734820018,0.125,0.539325843,0
9.41633E-3,55.049181709,0.754596322,0.12195122,0.550561798,0
9.43203E-3,55.992385158,0.755170522,0.118902439,0.561797753,0
9.47933E-3,56.940317803,0.756891868,0.115853659,0.573033708,0
9.58081E-3,57.898398999,0.760545025,0.112804878,0.584269663,0
9.80781E-3,58.879180273,0.768518841,0.109756098,0.595505618,0
9.84995E-3,59.864175736,0.769969661,0.106707317,0.606741573,0
9.95036E-3,60.859211676,0.773389763,0.103658537,0.617977528,0
1.01519E-2,61.874406471,0.780103732,0.100609756,0.629213483,0
1.01696E-2,62.891366784,0.780682183,0.097560976,0.640449438,0
1.02222E-2,63.913590921,0.782397797,0.094512195,0.651685393,0
1.023E-2,64.936590351,0.782649348,0.091463415,0.662921348,0
1.03507E-2,65.971663806,0.786529562,0.088414634,0.674157303,0
1.03644E-2,67.00810208,0.786963791,0.085365854,0.685393258,0
1.04288E-2,68.050983499,0.789001837,0.082317073,0.696629213,0
1.04569E-2,69.096677948,0.789885508,0.079268293,0.707865169,0
1.04843E-2,70.145107009,0.790740997,0.076219512,0.719101124,0
1.07032E-2,71.215422319,0.797463526,0.073170732,0.730337079,0
1.08855E-2,72.30397592,0.802900291,0.070121951,0.741573034,0
1.09915E-2,73.403126345,0.805991879,0.067073171,0.752808989,0
1.0997E-2,74.50282308,0.806149942,0.06402439,0.764044944,0
1.11083E-2,75.613657249,0.809344393,0.06097561,0.775280899,0
1.13349E-2,76.747144763,0.815680347,0.057926829,0.786516854,0
1.13881E-2,77.885953392,0.817137818,0.054878049,0.797752809,0
1.1524E-2,79.038350815,0.820807752,0.051829268,0.808988764,0
1.16531E-2,80.203658533,0.824226192,0.048780488,0.820224719,0
1.16983E-2,81.373488968,0.825408247,0.045731707,0.831460674,0
1.17457E-2,82.548054016,0.826637167,0.042682927,0.842696629,0
1.18067E-2,83.728720711,0.828208167,0.039634146,0.853932584,0
1.19317E-2,84.921885843,0.831381852,0.036585366,0.865168539,0
1.206E-2,86.127885086,0.83457977,0.033536585,0.876404494,0
1.21418E-2,87.342066879,0.836586909,0.030487805,0.887640449,0
1.21584E-2,88.557907695,0.83699088,0.027439024,0.898876404,0
1.28014E-2,89.838045037,0.851901107,0.024390244,0.91011236,0
1.3717E-2,91.209746185,0.870811384,0.021341463,0.921348315,0
1.38379E-2,92.593535021,0.873120287,0.018292683,0.93258427,0
1.4091E-2,94.002635988,0.877822418,0.015243902,0.943820225,0
1.42412E-2,95.426754695,0.880529418,0.012195122,0.95505618,0
1.49404E-2,96.920795076,0.892364348,0.009146341,0.966292135,0
1.53559E-2,98.456381164,0.898833401,0.006097561,0.97752809,0
1.54362E-2,100,0.900038575,0.00304878,0.988764045,0
1.54362E-2,100,0.900038575,0,0.988764045,0
